Mentor,Similarity in %
Mentor Doe,90.46748688244747
Mentor Ava,86.15638143665646
Mentor Donna,72.92872633432319
Mentor Samuel,69.07057560902537
Mentor Amelia,68.96222803014996
Mentor John,68.82632731661533
Mentor Kyle,67.91742681829288
Mentor Jack,64.37711888123798
Mentor Isabella,63.004265213270685
Mentor Olivia,62.33459567921563
Mentor Emily,62.048470115710245
Mentor Warner,62.048470115710245
Mentor Warner,61.734693711276975
Mentor Samuel,60.248216484162796
Mentor George,58.24761242954324
Mentor Smith,56.827306187281614
Mentor Brown,56.78054320400938
Mentor Amelia,55.653229547407314
Mentor Ava,55.653229547407314
Mentor Sophia,52.797447144616115
Mentor George,52.56264528482553
Mentor Olivia,52.15453031913727
Mentor Doe,51.08511203319721
Mentor Kyle,50.9122109775236
Mentor Emily,0.0
Mentor Ava,0.0
Mentor Jack,0.0
Mentor Donna,0.0
Mentor Grace,0.0
Mentor Warner,0.0
Mentor Ava,0.0
Mentor George,0.0
Mentor Smith,0.0
Mentor George,0.0
Mentor Sophia,0.0
Mentor Emily,0.0
Mentor Brown,0.0
Mentor Grace,0.0
Mentor Olivia,0.0
Mentor Doe,0.0
Mentor Samuel,0.0
Mentor Isabella,0.0
Mentor Isabella,0.0
Mentor Donna,0.0
Mentor Emily,0.0
Mentor Isabella,0.0
Mentor Samuel,0.0
Mentor Donna,0.0
Mentor Brown,0.0
Mentor Charlotte,0.0
