full_name,industry,industry_experience_years,business_strategy,marketing_sales,product_development,operations_logistics,financial_management,human_resources,legal_regulatory_compliance,technology_it,scaling_growth,sustainability_social_impact,awards
Mentor Kyle,Finance,14,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,IT Services
Mentor Samuel,Finance,6,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Industrial Machinery
Mentor Donna,Technology,9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Automotive
Mentor Doe,Finance,14,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Pharmaceuticals
Mentor Jack,Food and Beverage,20,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Residential
Mentor Warner,Education,12,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,E-commerce
Mentor Olivia,Real Estate,11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Online Retail
Mentor Isabella,Entertainment,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Online Retail
Mentor Donna,Manufacturing,19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Music
Mentor Olivia,Education,14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Higher Education
Mentor Brown,Healthcare,20,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Residential
Mentor Warner,Manufacturing,19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Food Processing
Mentor Samuel,Food and Beverage,7,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Apparel
Mentor George,Technology,18,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Beverage Production
Mentor Donna,Finance,17,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Hardware Manufacturing
Mentor Sophia,Technology,17,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,E-commerce
Mentor Charlotte,Food and Beverage,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Property Management
Mentor Grace,Healthcare,19,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Consumer Goods
Mentor Ava,Technology,19,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Commercial
Mentor Samuel,Retail,12,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Consumer Electronic
Mentor Amelia,Real Estate,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Healthcare Services
Mentor Samuel,Entertainment,9,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Consumer Goods
Mentor Sophia,Retail,18,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Live Events
Mentor Amelia,Retail,9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Automotive
Mentor Isabella,Retail,9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,IT Services
Mentor John,Real Estate,10,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,E-learning
Mentor Isabella,Real Estate,8,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hardware Manufacturing
Mentor Brown,Education,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Utilities
Mentor George,Real Estate,6,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Hardware Manufacturing
Mentor Doe,Technology,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Oil and Gas
Mentor Ava,Entertainment,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Oil and Gas
Mentor Brown,Entertainment,6,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Automotive
Mentor Jack,Finance,18,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,K-12 Education
Mentor Kyle,Food and Beverage,17,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Apparel
Mentor Warner,Energy,9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Biotechnology
Mentor Emily,Education,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Specialty Foods
Mentor Doe,Food and Beverage,11,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Live Events
Mentor Olivia,Education,9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Financial Technology
Mentor Emily,Healthcare,20,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Commercial
Mentor Smith,Finance,9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Software Development
Mentor Smith,Real Estate,17,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Real Estate Development
Mentor George,Food and Beverage,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Educational Publishing
Mentor George,Food and Beverage,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Restaurants
Mentor Emily,Manufacturing,18,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Gaming
Mentor Ava,Healthcare,20,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Aerospace
Mentor Isabella,Energy,9,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,E-commerce
Mentor Donna,Technology,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,E-learning
Mentor Emily,Energy,8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Hardware Manufacturing
Mentor Grace,Energy,14,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Specialty Retail
Mentor Ava,Finance,19,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Banking
